  time(s)      time(days)   fissrate     neuflue1     neuflue2     dpa(dpa)     bup(Mwd/kgM) bupave       bup(FIMA)    bup2(FIMA)   bupave(FIMA) temfi(c)     temfo(c)     temci(c)     temco(c)     tfave(c)     tcave(c)     hgap(w/m2/k) rfi(mm)      rfo(mm)      rci(mm)      rco(mm)      gap(mkm)     gapth(mkm)   gpres(mPa)   pfc(mpa)     htc(w/m2-k)  fgrpp(%)     efs(%)       eh(%)        et(%)        efh(%)       efz(%)       ez(%)        dlfuel(%)    dlfuelp(%)   dlclad(%)    ecef(%)      swclose(-)   swopen(-)    swsol(-)     swtot(-)     efsz(-)      efsh(-)      efsr(-)      xwast(m)     phstrain(%)  tchstrain(%)   sigh(MPa)  gap_state    
  1.10000E+06  1.27315E+01  3.04459E+19  1.10155E+01  3.16228E-01  1.26491E+00  8.05790E-01  8.05790E-01  8.76598E-04  9.57226E-04  8.76598E-04  7.46321E+02  5.87407E+02  5.69998E+02  5.38331E+02  6.68538E+02  5.53574E+02  1.02482E+05  0.00000E+00  3.91469E+00  4.53042E+00  5.05790E+00  6.15723E+02  6.17723E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  2.33766E-01  6.53577E-01  6.76114E-01  1.69579E+00  1.32998E+00  6.57882E-01  1.09364E+00 -2.88456E-02  5.46154E-01  0.00000E+00  5.69808E-03  0.00000E+00  1.31490E-03  7.01298E-03  2.33766E-03  2.33766E-03  2.33766E-03  0.00000E+00  6.54951E-01  0.00000E+00 -1.18695E+01       open
  1.20000E+06  1.38889E+01  3.04459E+19  1.10169E+01  3.44976E-01  1.37990E+00  8.79044E-01  8.79044E-01  9.56289E-04  1.04425E-03  9.56289E-04  7.46432E+02  5.87380E+02  5.69998E+02  5.38331E+02  6.68537E+02  5.53574E+02  1.02641E+05  0.00000E+00  3.91564E+00  4.53041E+00  5.05789E+00  6.14775E+02  6.16775E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  3.32206E-01  6.53475E-01  6.76114E-01  1.79683E+00  1.35344E+00  6.57868E-01  1.10115E+00 -2.13398E-02  5.46143E-01  0.00000E+00  8.53176E-03  0.00000E+00  1.43443E-03  9.96619E-03  3.32206E-03  3.32206E-03  3.32206E-03  0.00000E+00  6.54865E-01  0.00000E+00 -1.15119E+01       open
  1.30000E+06  1.50463E+01  3.04459E+19  1.10183E+01  3.73724E-01  1.49490E+00  9.52297E-01  9.52297E-01  1.03598E-03  1.13127E-03  1.03598E-03  7.46584E+02  5.87346E+02  5.69998E+02  5.38331E+02  6.68538E+02  5.53574E+02  1.02846E+05  0.00000E+00  3.91685E+00  4.53041E+00  5.05789E+00  6.13555E+02  6.15555E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  4.59393E-01  6.53388E-01  6.76114E-01  1.92699E+00  1.38360E+00  6.57857E-01  1.10995E+00 -1.25412E-02  5.46134E-01  0.00000E+00  1.22278E-02  0.00000E+00  1.55397E-03  1.37818E-02  4.59393E-03  4.59393E-03  4.59393E-03  0.00000E+00  6.54790E-01  0.00000E+00 -1.12139E+01       open
  1.40000E+06  1.62037E+01  3.04459E+19  1.10197E+01  4.02472E-01  1.60989E+00  1.02555E+00  1.02555E+00  1.11567E-03  1.21829E-03  1.11567E-03  7.46784E+02  5.87302E+02  5.69998E+02  5.38331E+02  6.68541E+02  5.53574E+02  1.03105E+05  0.00000E+00  3.91839E+00  4.53041E+00  5.05789E+00  6.12016E+02  6.14016E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  6.17543E-01  6.53313E-01  6.76114E-01  2.08822E+00  1.42156E+00  6.57847E-01  1.12032E+00 -2.18016E-03  5.46126E-01  0.00000E+00  1.68528E-02  0.00000E+00  1.67351E-03  1.85263E-02  6.17543E-03  6.17543E-03  6.17543E-03  0.00000E+00  6.54726E-01  0.00000E+00 -1.09640E+01       open
  1.50000E+06  1.73611E+01  3.04459E+19  1.10211E+01  4.31220E-01  1.72488E+00  1.09880E+00  1.09880E+00  1.19536E-03  1.30531E-03  1.19536E-03  7.47039E+02  5.87248E+02  5.69998E+02  5.38331E+02  6.68548E+02  5.53574E+02  1.03427E+05  0.00000E+00  3.92028E+00  4.53040E+00  5.05788E+00  6.10118E+02  6.12118E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  8.07113E-01  6.53248E-01  6.76114E-01  2.28059E+00  1.46826E+00  6.57839E-01  1.13253E+00  1.00159E-02  5.46120E-01  0.00000E+00  2.24203E-02  0.00000E+00  1.79304E-03  2.42134E-02  8.07113E-03  8.07113E-03  8.07113E-03  0.00000E+00  6.54670E-01  0.00000E+00 -1.07528E+01       open
  1.60000E+06  1.85185E+01  3.04459E+19  1.10225E+01  4.59968E-01  1.83987E+00  1.17206E+00  1.17206E+00  1.27505E-03  1.39233E-03  1.27505E-03  7.47354E+02  5.87183E+02  5.69998E+02  5.38331E+02  6.68560E+02  5.53574E+02  1.03817E+05  0.00000E+00  3.92257E+00  4.53040E+00  5.05788E+00  6.07828E+02  6.09828E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  1.02656E+00  6.53192E-01  6.76114E-01  2.50207E+00  1.52442E+00  6.57833E-01  1.14685E+00  2.43106E-02  5.46114E-01  0.00000E+00  2.88843E-02  0.00000E+00  1.91258E-03  3.07969E-02  1.02656E-02  1.02656E-02  1.02656E-02  0.00000E+00  6.54622E-01  0.00000E+00 -1.05733E+01       open
  1.70000E+06  1.96759E+01  3.04459E+19  1.10239E+01  4.88716E-01  1.95486E+00  1.24531E+00  1.24531E+00  1.35474E-03  1.47935E-03  1.35474E-03  7.47734E+02  5.87107E+02  5.69998E+02  5.38331E+02  6.68578E+02  5.53574E+02  1.04282E+05  0.00000E+00  3.92527E+00  4.53040E+00  5.05788E+00  6.05126E+02  6.07126E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  1.27243E+00  6.53143E-01  6.76114E-01  2.74871E+00  1.59049E+00  6.57827E-01  1.16352E+00  4.09480E-02  5.46109E-01  0.00000E+00  3.61407E-02  0.00000E+00  2.03211E-03  3.81729E-02  1.27243E-02  1.27243E-02  1.27243E-02  0.00000E+00  6.54580E-01  0.00000E+00 -1.04198E+01       open
  1.80000E+06  2.08333E+01  3.04459E+19  1.10253E+01  5.17464E-01  2.06986E+00  1.31857E+00  1.31857E+00  1.43443E-03  1.56637E-03  1.43443E-03  7.48184E+02  5.87018E+02  5.69998E+02  5.38331E+02  6.68604E+02  5.53574E+02  1.04825E+05  0.00000E+00  3.92839E+00  4.53040E+00  5.05788E+00  6.02002E+02  6.04002E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  1.53968E+00  6.53100E-01  6.76114E-01  3.01508E+00  1.66660E+00  6.57822E-01  1.18275E+00  6.01430E-02  5.46105E-01  0.00000E+00  4.40386E-02  0.00000E+00  2.15165E-03  4.61903E-02  1.53968E-02  1.53968E-02  1.53968E-02  0.00000E+00  6.54544E-01  0.00000E+00 -1.02876E+01       open
  1.90000E+06  2.19907E+01  3.04459E+19  1.10267E+01  5.46212E-01  2.18485E+00  1.39182E+00  1.39182E+00  1.51412E-03  1.65339E-03  1.51412E-03  7.48703E+02  5.86918E+02  5.69998E+02  5.38331E+02  6.68640E+02  5.53574E+02  1.05447E+05  0.00000E+00  3.93193E+00  4.53039E+00  5.05788E+00  5.98461E+02  6.00461E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  1.82230E+00  6.53063E-01  6.76114E-01  3.29493E+00  1.75262E+00  6.57817E-01  1.20474E+00  8.20749E-02  5.46101E-01  0.00000E+00  5.23977E-02  0.00000E+00  2.27119E-03  5.46689E-02  1.82230E-02  1.82230E-02  1.82230E-02  0.00000E+00  6.54512E-01  0.00000E+00 -1.01732E+01       open
  2.00000E+06  2.31481E+01  3.04459E+19  1.10281E+01  5.74960E-01  2.29984E+00  1.46507E+00  1.46507E+00  1.59381E-03  1.74041E-03  1.59381E-03  7.49292E+02  5.86806E+02  5.69998E+02  5.38331E+02  6.68688E+02  5.53574E+02  1.06148E+05  0.00000E+00  3.93588E+00  4.53039E+00  5.05788E+00  5.94518E+02  5.96517E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  2.11401E+00  6.53031E-01  6.76114E-01  3.58190E+00  1.84815E+00  6.57813E-01  1.22961E+00  1.06884E-01  5.46098E-01  0.00000E+00  6.10296E-02  0.00000E+00  2.39072E-03  6.34204E-02  2.11401E-02  2.11401E-02  2.11401E-02  0.00000E+00  6.54484E-01  0.00000E+00 -1.00734E+01       open
